album,song_title,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
1989 (Taylor's Version),surburban legends (taylor's version) (from the vault),False,False,surburban legends taylors version from the vault,10,NONE,C-Am-F,NONE,C-Am-F-G,NONE,C-Am-F-G,NONE
Reputation,new year's day,True,False,new years day,174,NONE,C-Am-F,NONE,C-Am-F-C,C-Am-F-G,C-Am-F-G,C-Am-F-G
Midnights,question…?,False,False,question…?,122,NONE,C-Am-Dm-G-G,NONE,C-Am-Dm-G,NONE,C-Dm-C-G-Am-G-F-C,NONE
Speak Now(Taylor’s Version),better than revenge (taylor's version),False,False,better than revenge taylors version,187,Bm-G-D-A.,Bm-G-D-A,NONE,Bm-G-D-A,NONE,A-Bm-G-D,Bm-G-D-A
RED (Taylor's Version),treacherous (taylor's version),False,False,treacherous taylors version,153,D-A-Bm-G,D-A-Bm-G,NONE,D-A-Bm-G,A-Bm-G,NONE,D-A-Bm-G
Fearless (Taylor's Version),superstar (taylor's version),False,False,superstar taylors version,61,D-A-Bm-A,D-A-Bm-A-D,D-A-Bm-A,Bm-G-A-D-A,NONE,E-B-F#m,A-D-A-Bm
Lover,me!,False,False,me!,110,NONE,C-Am-F-G,C-C-C-C,C-Am-F-G,NONE,N.C-N.C,BRIDGE
The Tortured Poets Department,the albatross,True,False,the albatross,214,NONE,Bm-A-G-A,NONE,D-A-Bm-G,NONE,Em-G-D-A-Em-G,D-A-Bm-G
Fearless (Taylor's Version),love story (taylor's version),False,False,love story taylors version,67,D-G-Bm-G,D-G-Bm-G-A,G-A-Bm-D,D-A-Bm-G-A-D,NONE,Bm-G-D-A,B-C#m-A-E
1989 (Taylor's Version),i wish you would (taylor's version),True,False,i wish you would taylors version,16,C,C,NONE,C-G-Am-C-F,G-C-Am-C-F,C-G-Am-C-F,C-G-Am-C-F
Speak Now(Taylor’s Version),last kiss (taylor's version),True,False,last kiss taylors version,183,Bb-Gm-Eb,Bb-Gm-Eb,Eb-Bb-Eb-F,Bb-Gm-Eb-F,NONE,Bb-Gm-Eb-F-Eb,Bb-Gm-Eb-F-Bb
Fearless (Taylor's Version),mr perfectly fine (taylor's version) (from the vault),False,False,mr perfectly fine taylors version from the vault,77,D-A-Bm-G,D-A-Bm-G,Bm-G-D-A,D-A-Bm-G-A-D,NONE,Bm-G-D-A,B-C#m-A-B-E
Lover,soon you'll get better,True,False,soon youll get better,109,C-G-Am-G,C-G-Am-G-F,NONE,C-G-F-G,NONE,Dm-G-C-G-Am-C/G-F-Cm,NONE
Speak Now(Taylor’s Version),i can see you (taylor's version) (from the vault),True,False,i can see you taylors version from the vault,201,EBm-EBm-B-Db,EBm-EBm-B-Db,B-Db-EBm-Gb-B-Db-Ab,B-Db-Gb-EBm-B-Db-Ab,NONE,NONE,B-Db-Ebm-B
Reputation,look what you made me do,False,False,look what you made me do,181,Am-F-E,Am-G-F-E,NONE,Am-G-F-E,NONE,Am-F-E,NONE
Reputation,don't blame me,False,False,dont blame me,168,CHORUS,Am-G-F-F-C-Dm,Am-Am-G-F7-G,Am-G-F-C-Dm,NONE,Am-G-F-F-C,NONE
Folklore,the 1,False,False,the 1,84,F-C-F-C,F-C,F-C,Am-G-F-C-Dm,Am-G-F-C,NONE,NONE
Evermore,it’'s time to go,False,False,it’s time to go,45,C,C-Am-F-G,NONE,Am-G-F-C,NONE,G-C-F-C,G-Dm-Am-C
Midnights,you're losing me (from the vault),False,False,youre losing me from the vault,115,NONE,C-Dm-Am-F,G-Am-F,Am-F-G-C,NONE,C-G-Am-G-F,G-C-Am-F-G
1989 (Taylor's Version),now that we don't talk (taylor's version) (from the vault),True,False,now that we dont talk taylors version from the vault,17,C-F,C-F-Am-F,NONE,Am-F-C-G-C,NONE,NONE,C-F-Am-F-C-G
Midnights,vigilante shit,True,False,vigilante shit,116,NONE,Am-F-Em-Am,NONE,Am-C-G-Am,NONE,N.C,NONE
1989 (Taylor's Version),shake it off (taylor's version),False,False,shake it off taylors version,15,NONE,Am-C-G-G,Am-C-G-G,Am-C-G,NONE,N.C,NONE
