Midnights,karma,D# C# C# Fm,D G D G,Cm C# C# Fm,D# C# C# G#,NONE,Cm G# Gbm A#,NONE,FALSE,FALSE,karma,135,
Midnights,lavender haze,D# F Cm,C# G# F#,D# F Cm Cm,D# F Cm,NONE,D# F Cm Cm,Cm Cm D# F Cm,FALSE,FALSE,lavender haze,136,
Midnights,hits different,E Bb E B,C G D,NONE,E Bb Dbm Bb,E Bb,E Bb,Dbm Bb Gbm B,TRUE,FALSE,hits different,132,
Midnights,mastermind,Eb,C G Am F,A Eb A F#m,C#m A Bb Eb,NONE,Eb A Gm Bb,NONE,FALSE,FALSE,mastermind,129,
Midnights,sweet nothing,F C Dm C,Bm G Bm G,NONE,F C Dm C,NONE,F Em Dm C,NONE,FALSE,FALSE,sweet nothing,121,
Midnights,bejeweled,G,Em C G D,NONE,C Dm Am G,C Dm A G,C C G,Dm Am G C,FALSE,FALSE,bejeweled,123,
Midnights,dear reader,G Am F,C Am F G,NONE,G Am F,NONE,F Am G,Am G F Am G,FALSE,FALSE,dear reader,117,
Midnights,anti-hero,NONE,G F#m Em Bm,A Eb Bb C#m,A Eb Bb C#m,NONE,A Eb Bb C#m,NONE,FALSE,FALSE,antihero,131,
Midnights,glitch,NONE,G D Em C,NONE,A F#m Db Eb,NONE,Db Eb A F#m,NONE,FALSE,FALSE,glitch,126,
Midnights,snow on the beach,NONE,G D C,NONE,F#m Db C#m A,F#m Db C#m A,F#m Db A Eb,F#m Db A Eb,FALSE,FALSE,snow on the beach,130,
Midnights,vigilante shit,NONE,G C G C,NONE,Am C G Am,NONE,N.C,NONE,TRUE,FALSE,vigilante shit,116,
Midnights,high infidelity,NONE,F#m Db C#m Eb,NONE,Bb Gbm D E,Bb E Bm,CHORUS,Bb Gbm D E,FALSE,FALSE,high infidelity,127,
Midnights,question…?,NONE,F C B,NONE,C Am Dm G,NONE,C Dm G Am,NONE,FALSE,FALSE,question…?,122,
Midnights,you're losing me (from the vault),NONE,Em D Bb,G Am F,Am F G C,NONE,C G Am F,C Am F G,FALSE,FALSE,youre losing me from the vault,115,
Midnights,the great war,NONE,C G Am F,NONE,D Bb Gbm E,NONE,Bm Bb Gbm E,Bb Gbm E D,TRUE,FALSE,the great war,133,
Midnights,you're on your own kid,NONE,C Em Am G,A Bb Eb C#m,Bb Eb,NONE,A Bb Eb C#m,NONE,FALSE,FALSE,youre on your own kid,128,
Midnights,midnight rain,NONE,C,C G Am F,NONE,NONE,F C G Am,NONE,FALSE,FALSE,midnight rain,119,
